elapsed_s,pid,raw,bytes
1.093,221022,"62102200",0x00(0)
1.163,2210A6,"6210A600",0x00(0)
1.310,2210A8,"6210A844",0x44(68)
1.501,22101F,"7F2231",ERR
1.587,2210B0,"6210B09E",0x9E(158)
2.061,223050,"7F2231",ERR
2.120,22309A,"7F2231",ERR
2.543,22104F,"62104F73",0x73(115)
4.108,221022,"410680",ERR
4.224,2210A6,"OK",ERR
4.299,2210A8,"62102200STOPPED",ERR
4.333,22101F,"NO DATA",ERR
4.435,2210B0,"6210A845",0x45(69)
4.988,221022,"62102200",0x00(0)
5.039,2210A6,"6210A60D",0x0D(13)
5.115,2210A8,"6210A845",0x45(69)
5.333,22101F,"7F2231",ERR
5.470,2210B0,"6210B09E",0x9E(158)
5.667,2210B1,"6210B100",0x00(0)
6.593,221022,"62102200",0x00(0)
6.639,2210A6,"6210A600",0x00(0)
6.690,2210A8,"6210A845",0x45(69)
6.737,22101F,"7F2231",ERR
6.793,2210B0,"6210B029",0x29(41)
7.588,223050,"7F2231",ERR
7.637,22309A,"7F2231",ERR
7.762,22104F,"62104F73",0x73(115)
8.752,221022,"62102200",0x00(0)
8.794,2210A6,"6210A600",0x00(0)
8.844,2210A8,"6210A800",0x00(0)
8.897,22101F,"7F2231",ERR
8.942,2210B0,"6210B09B",0x9B(155)
10.334,221022,"62102200",0x00(0)
10.379,2210A6,"6210A600",0x00(0)
10.426,2210A8,"6210A845",0x45(69)
10.479,22101F,"7F2231",ERR
10.523,2210B0,"6210B09E",0x9E(158)
10.880,2210B1,"6210B100",0x00(0)
11.698,221022,"62102200",0x00(0)
11.746,2210A6,"6210A600",0x00(0)
11.936,2210A8,"6210A845",0x45(69)
12.077,22101F,"7F2231",ERR
12.191,2210B0,"6210B09E",0x9E(158)
13.131,223050,"7F2231",ERR
13.179,22309A,"7F2231",ERR
13.268,22104F,"62104F73",0x73(115)
14.266,221022,"62102200",0x00(0)
14.309,2210A6,"6210A600",0x00(0)
14.354,2210A8,"6210A800",0x00(0)
14.411,22101F,"7F2231",ERR
14.469,2210B0,"6210B09E",0x9E(158)
15.344,221022,"62102200",0x00(0)
15.386,2210A6,"6210A600",0x00(0)
15.440,2210A8,"6210A800",0x00(0)
15.486,22101F,"7F2231",ERR
15.530,2210B0,"6210B09E",0x9E(158)
16.604,221022,"62102200",0x00(0)
16.690,2210A6,"6210A600",0x00(0)
16.886,2210A8,"6210A800",0x00(0)
17.027,22101F,"7F2231",ERR
17.074,2210B0,"6210B09E",0x9E(158)
17.126,2210B1,"6210B100",0x00(0)
18.215,221022,"62102200",0x00(0)
18.270,2210A6,"6210A600",0x00(0)
18.322,2210A8,"6210A800",0x00(0)
18.371,22101F,"7F2231",ERR
18.417,2210B0,"6210B09E",0x9E(158)
18.956,223050,"OK",ERR
18.984,22309A,"7F2231STOPPED",ERR
19.022,22104F,"OK",ERR
20.261,221022,"62102200",0x00(0)
20.318,2210A6,"6210A622",0x22(34)
20.363,2210A8,"6210A800",0x00(0)
20.576,22101F,"7F2231",ERR
20.751,2210B0,"6210B09E",0x9E(158)
21.838,221022,"62102200",0x00(0)
21.890,2210A6,"6210A657",0x57(87)
21.953,2210A8,"6210A800",0x00(0)
22.009,22101F,"7F2231",ERR
22.065,2210B0,"6210B09D",0x9D(157)
22.267,2210B1,"6210B101",0x01(1)
23.334,221022,"62102200",0x00(0)
23.383,2210A6,"6210A66A",0x6A(106)
23.434,2210A8,"6210A800",0x00(0)
23.500,22101F,"7F2231",ERR
23.573,2210B0,"6210B09D",0x9D(157)
25.660,223050,"7F2231",ERR
25.830,22309A,"7F2231",ERR
26.078,22104F,"62104F73",0x73(115)
27.170,221022,"62102200",0x00(0)
27.229,2210A6,"6210A649",0x49(73)
27.280,2210A8,"6210A845",0x45(69)
27.379,22101F,"7F2231",ERR
27.538,2210B0,"6210B09E",0x9E(158)
28.838,221022,"62102200",0x00(0)
28.880,2210A6,"6210A60D",0x0D(13)
28.923,2210A8,"6210A800",0x00(0)
28.985,22101F,"7F2231",ERR
29.041,2210B0,"6210B09E",0x9E(158)
29.376,2210B1,"6210B100",0x00(0)
30.203,221022,"62102200",0x00(0)
30.265,2210A6,"6210A600",0x00(0)
30.419,2210A8,"6210A800",0x00(0)
30.596,22101F,"7F2231",ERR
30.727,2210B0,"6210B029",0x29(41)
31.698,223050,"7F2231",ERR
31.754,22309A,"7F2231",ERR
31.857,22104F,"62104F73",0x73(115)
32.684,221022,"62102200",0x00(0)
32.732,2210A6,"6210A600",0x00(0)
32.783,2210A8,"6210A845",0x45(69)
32.832,22101F,"7F2231",ERR
32.883,2210B0,"6210B09C",0x9C(156)
33.989,221022,"62102200",0x00(0)
34.078,2210A6,"6210A600",0x00(0)
34.296,2210A8,"6210A800",0x00(0)
34.402,22101F,"7F2231",ERR
34.571,2210B0,"6210B09E",0x9E(158)
35.686,221022,"62102200",0x00(0)
35.730,2210A6,"6210A600",0x00(0)
35.776,2210A8,"6210A845",0x45(69)
35.847,22101F,"7F2231",ERR
35.893,2210B0,"6210B09E",0x9E(158)
35.935,2210B1,"6210B100",0x00(0)
37.211,221022,"62102200",0x00(0)
37.312,2210A6,"6210A600",0x00(0)
37.369,2210A8,"6210A845",0x45(69)
37.414,22101F,"7F2231",ERR
37.461,2210B0,"6210B09E",0x9E(158)
37.908,223050,"7F2231",ERR
37.999,22309A,"7F2231",ERR
38.386,22104F,"62104F73",0x73(115)
39.502,221022,"62102200",0x00(0)
39.551,2210A6,"6210A600",0x00(0)
39.605,2210A8,"6210A800",0x00(0)
39.668,22101F,"7F2231",ERR
39.713,2210B0,"6210B09E",0x9E(158)
40.692,221022,"62102200",0x00(0)
40.739,2210A6,"6210A600",0x00(0)
40.802,2210A8,"6210A845",0x45(69)
40.914,22101F,"7F2231",ERR
41.114,2210B0,"6210B09E",0x9E(158)
41.389,2210B1,"6210B100",0x00(0)
42.302,221022,"62102200",0x00(0)
42.350,2210A6,"6210A628",0x28(40)
42.406,2210A8,"6210A800",0x00(0)
42.467,22101F,"7F2231",ERR
42.524,2210B0,"6210B09E",0x9E(158)
43.715,223050,"7F2231",ERR
44.176,22309A,"7F2231",ERR
44.514,22104F,"62104F73",0x73(115)
45.933,221022,"62102200",0x00(0)
46.006,2210A6,"6210A69E",0x9E(158)
46.051,2210A8,"6210A845",0x45(69)
46.110,22101F,"7F2231",ERR
46.168,2210B0,"6210B09D",0x9D(157)
47.279,221022,"62102200",0x00(0)
47.326,2210A6,"6210A690",0x90(144)
47.372,2210A8,"6210A845",0x45(69)
47.429,22101F,"7F2231",ERR
47.475,2210B0,"6210B09E",0x9E(158)
48.080,2210B1,"6210B100",0x00(0)
48.937,221022,"62102200",0x00(0)
48.996,2210A6,"6210A600",0x00(0)
49.056,2210A8,"6210A844",0x44(68)
49.110,22101F,"7F2231",ERR
49.198,2210B0,"6210B09E",0x9E(158)
50.100,223050,"7F2231",ERR
50.156,22309A,"7F2231",ERR
50.258,22104F,"62104F73",0x73(115)
51.200,221022,"62102200",0x00(0)
51.245,2210A6,"6210A600",0x00(0)
51.292,2210A8,"6210A800",0x00(0)
51.350,22101F,"7F2231",ERR
51.479,2210B0,"6210B09E",0x9E(158)
52.788,221022,"62102200",0x00(0)
52.846,2210A6,"6210A600",0x00(0)
52.901,2210A8,"6210A800",0x00(0)
52.957,22101F,"7F2231",ERR
53.031,2210B0,"6210B09E",0x9E(158)
54.088,221022,"62102200",0x00(0)
54.150,2210A6,"6210A600",0x00(0)
54.333,2210A8,"6210A845",0x45(69)
54.509,22101F,"7F2231",ERR
54.661,2210B0,"6210B09E",0x9E(158)
54.713,2210B1,"6210B100",0x00(0)
55.770,221022,"62102200",0x00(0)
55.817,2210A6,"6210A600",0x00(0)
55.863,2210A8,"6210A800",0x00(0)
55.923,22101F,"7F2231",ERR
55.977,2210B0,"6210B09E",0x9E(158)
56.676,223050,"7F2231",ERR
56.729,22309A,"7F2231",ERR
56.876,22104F,"62104F73",0x73(115)
